,precision,recall,f1-score,support
Telecom.,0.6074074074074074,0.6507936507936508,0.6283524904214559,126.0
GN&C,0.6781609195402298,0.6941176470588235,0.686046511627907,85.0
Materials / EEEs,0.6447368421052632,0.5903614457831325,0.6163522012578616,83.0
Quality control,0.7142857142857143,0.7339449541284404,0.7239819004524887,218.0
Measurement,0.983957219251337,0.9246231155778895,0.9533678756476683,199.0
Power,0.648936170212766,0.8591549295774648,0.7393939393939394,142.0
Safety / Risk (Control),0.7475728155339806,0.6015625,0.6666666666666666,128.0
System engineering,0.6647058823529411,0.8071428571428572,0.7290322580645161,140.0
Project Scope,0.651685393258427,0.6444444444444445,0.6480446927374302,90.0
Parameter,0.532258064516129,0.7071428571428572,0.6073619631901841,140.0
Space Environment,0.7385892116182573,0.7295081967213115,0.734020618556701,244.0
OBDH,0.7355072463768116,0.7275985663082437,0.7315315315315315,279.0
Propulsion,0.8387096774193549,0.6964285714285714,0.7609756097560976,112.0
Thermal,0.9148936170212766,0.7678571428571429,0.8349514563106796,56.0
Structure & Mechanism,0.5757575757575758,0.628099173553719,0.6007905138339921,121.0
Cleanliness,0.8032786885245902,0.6901408450704225,0.7424242424242424,71.0
Project Organisation / Documentation,0.6078431372549019,0.543859649122807,0.5740740740740741,114.0
Nonconformity,0.5208333333333334,0.5,0.5102040816326531,50.0
micro avg,0.7022494887525562,0.7160133444537115,0.7090646293619657,2398.0
macro avg,0.7005066064316832,0.6942655859284321,0.6937540348655605,2398.0
weighted avg,0.7113861092208359,0.7160133444537115,0.7103776678778276,2398.0
