model,run,seed,epoch,train_loss,val_loss,f1_score
roberta-base-no-fpt,1,42,1,1.221850262131802,0.7364036068320274,0.3453488578837879
roberta-base-no-fpt,1,42,2,0.6119492019331733,0.5478439417978128,0.5541965189669137
roberta-base-no-fpt,1,42,3,0.4139785342091738,0.4768815673887729,0.6302724124587639
roberta-base-no-fpt,1,42,4,0.2958612372708875,0.4603237137198448,0.6553449259964713
roberta-base-no-fpt,1,42,5,0.2109935921291972,0.4710420829554398,0.6695887597715607
roberta-base-no-fpt,1,42,6,0.1637839928789194,0.4910764371355374,0.670773383803666
roberta-base-no-fpt,1,42,7,0.1341591852522173,0.4881879513462384,0.6878650783086976
roberta-base-no-fpt,1,42,8,0.1037171143431996,0.5120090867082278,0.6824373234279872
roberta-base-no-fpt,1,42,9,0.0857252386333637,0.5144548180202643,0.6878413763293832
roberta-base-no-fpt,1,42,10,0.0776668252033549,0.5198247283697128,0.6903849930909299
roberta-base-no-fpt,2,43,1,1.2122956368812294,0.8522426262497902,0.3507563174090894
roberta-base-no-fpt,2,43,2,0.6516715558462365,0.5703742218514284,0.5860944846047832
roberta-base-no-fpt,2,43,3,0.4259784481553144,0.5198957386116186,0.6382124183595912
roberta-base-no-fpt,2,43,4,0.3015829387099243,0.5246553619702657,0.6350822094026027
roberta-base-no-fpt,2,43,5,0.2229115474362706,0.514964023604989,0.6719501421038294
roberta-base-no-fpt,2,43,6,0.169714628740452,0.5253278749684492,0.6642457050755023
roberta-base-no-fpt,2,43,7,0.1342260869609755,0.5511526303986708,0.6753812651785636
roberta-base-no-fpt,2,43,8,0.1077909966237669,0.5534716186424097,0.6755042099440843
roberta-base-no-fpt,2,43,9,0.0919522049641886,0.5655482051273187,0.6830873028983194
roberta-base-no-fpt,2,43,10,0.0788208671390663,0.5629838438083729,0.6824393168017239
roberta-base-no-fpt,3,44,1,1.264194057431332,0.7252912099162737,0.358570726236813
roberta-base-no-fpt,3,44,2,0.653109184877817,0.521014116704464,0.5987417201190416
roberta-base-no-fpt,3,44,3,0.43601840335962383,0.4673457716902097,0.6353630882170357
roberta-base-no-fpt,3,44,4,0.3100005154346311,0.4580456241965294,0.6452196397097959
roberta-base-no-fpt,3,44,5,0.23074994530788687,0.4401085115969181,0.6706599639065908
roberta-base-no-fpt,3,44,6,0.17527857284213222,0.44693978192905587,0.6826617097334822
roberta-base-no-fpt,3,44,7,0.14035518515075363,0.44389001714686555,0.6937134878091235
roberta-base-no-fpt,3,44,8,0.1122570049970649,0.4620567684372266,0.6872136437662519
roberta-base-no-fpt,3,44,9,0.09642134637160357,0.4565316028892994,0.7022875155657212
roberta-base-no-fpt,3,44,10,0.08356506286492181,0.4620538155237834,0.7096326751866627
